Name;Latitude;Longitude;Capacity;Cost;ClearName;Type;is_copy;added_to_guarantee_coverage;is_critical
facil_1;35,99430574757834;68,94097122645837;1,9680000000000002;0;facil_1;greenfield;False;False;True
facil_2;36,29847241302834;69,23930455859836;114,982;0;facil_2;greenfield;False;False;True
facil_3;36,23180574662834;69,14430455897836;524,0740000000001;0;facil_3;greenfield;False;False;True
facil_4;36,33180574622834;69,26930455847837;11,308;0;facil_4;greenfield;False;False;True
facil_5;36,38680574600834;68,90263789327837;1,034;0;facil_5;greenfield;False;False;True
facil_6;36,06013908064834;69,08430455921837;32,323;0;facil_6;greenfield;False;False;True
facil_7;36,19763908009834;69,12763789237837;397,517;0;facil_7;greenfield;False;False;True
facil_8;36,23180574662834;69,17347122552837;510,99800000000005;0;facil_9;greenfield;False;False;True
facil_9;36,30263907967834;69,11097122577837;303,65000000000003;0;facil_10;greenfield;False;False;True
facil_10;36,22347241332834;69,22847122530837;336,807;0;facil_11;greenfield;False;False;True
facil_11;36,33430574621834;69,55680455732836;10,373999999999999;0;facil_13;greenfield;False;False;True
facil_12;36,34513907950834;69,10013789248836;225,661;0;facil_14;greenfield;False;False;True
facil_13;36,10013908048834;68,98763789293837;9,44;0;facil_15;greenfield;False;False;True
facil_14;35,87680574804834;69,25513789186837;21,582;0;facil_16;greenfield;False;False;True
facil_15;36,03847241406834;69,11180455910836;24,384;0;facil_17;greenfield;False;False;True
facil_16;36,34597241283834;69,14597122563836;211,184;0;facil_18;greenfield;False;False;True
facil_17;36,34180574618834;69,26680455848836;8,972999999999999;0;facil_19;greenfield;False;False;True
facil_18;36,21763908001834;69,53763789073837;328,401;0;facil_20;greenfield;False;False;True
facil_19;36,03763908073834;68,98180455962837;8,506;0;facil_21;greenfield;False;False;True
facil_20;36,17263908019834;69,14347122564837;333,071;0;facil_22;greenfield;False;False;True
facil_21;36,13430574701834;69,18597122547837;68,749;0;facil_23;greenfield;False;False;True
facil_22;36,04347241404834;69,22180455866837;14,577;0;facil_24;greenfield;False;False;True
facil_23;36,13763908033834;69,54180455738836;23,450000000000003;0;facil_25;greenfield;False;False;True
facil_24;36,08263908055834;69,05513789266837;21,582;0;facil_26;greenfield;False;False;True
facil_25;36,05263908067834;69,00763789285837;15,044;0;facil_27;greenfield;False;False;True
