Name;Latitude;Longitude;Allocated Demand
depot_5;34,808916;67,816629;79,39
depot_13;36,770699;69,531998;5487,717000000001
facil_3;36,43763907913834;68,92180455986836;5,1370000000000005
facil_4;35,42930574983834;68,25597122919837;3,269
facil_5;36,20930574671834;68,57930456123836;10,741
facil_11;36,03930574739834;69,00097122621837;10,741
facil_13;36,10597241379834;68,53097122809837;8,873000000000001
facil_15;35,83013908156834;68,81430456029837;8,873000000000001
facil_23;36,21930574667834;68,77513789378837;310,555
facil_25;35,90263908127834;68,48513789494837;5,1370000000000005
facil_39;36,34597241283834;68,81930456027837;36,893
facil_44;36,19180574678834;69,53347122408837;91,99900000000001
facil_54;36,36430574609834;68,88430456001836;23,35
facil_82;36,08763908053834;68,63597122767837;32,223
facil_90;35,94430574777834;68,71597122735837;107,41000000000001
facil_91;36,21180574670834;69,14180455898837;554,796
facil_94;36,23347241328834;68,55263789467837;15,878
facil_101;36,12680574704834;69,20180455874836;104,141
facil_103;36,11097241377834;68,67013789420837;13,076
facil_104;36,32347241292834;68,85763789345836;60,71
facil_111;35,89347241464834;68,59597122783836;4,203
facil_117;36,12097241373834;68,69180456078837;235,36800000000002
facil_118;35,96013908104834;68,56597122795837;10,274000000000001
facil_121;36,23763907993834;69,19680455876836;242,84
facil_129;35,82347241492834;68,50930456151836;2,335
facil_130;36,29180574638834;68,71013789404836;83,593
facil_133;35,83847241486834;68,86930456007836;1,401
facil_149;36,23430574661834;68,52847122810837;4,203
facil_155;35,99263908091834;68,67763789417836;53,238
facil_159;36,27680574644834;69,55763789065837;95,268
facil_164;36,28347241308834;68,80763789365837;552,461
facil_165;36,49847241222834;68,65430456093837;4,67
facil_176;36,08097241389834;69,11180455910836;25,685000000000002
facil_177;35,93763908113834;68,64930456095837;16,345
facil_182;36,14263908031834;68,72263789399837;162,049
facil_184;36,15097241361834;68,80263789367837;11,208
facil_196;35,93680574780834;68,60430456113836;8,873000000000001
facil_197;36,35263907947834;68,99180455958836;42,497
facil_199;36,259305746518336;68,65513789426836;9,34
facil_203;36,16430574689834;68,75513789386837;420,767
facil_210;35,59847241582834;68,52430456145837;0,934
facil_211;36,05680574732834;68,66013789424836;31,289
facil_212;36,21597241335834;69,26263789183837;91,99900000000001
facil_215;36,23180574662834;68,88513789334837;33,157000000000004
facil_223;36,36847241274834;68,73430456061837;54,172000000000004
facil_225;36,18180574682834;68,72097122733837;146,17100000000002
facil_255;36,15180574694834;69,10513789246836;190,06900000000002
facil_269;35,98097241429834;68,65430456093837;42,03
facil_279;36,29847241302834;69,12930455903836;467,467
facil_282;36,15013908028834;68,68430456081836;17,746
facil_283;36,03347241408834;68,76680456048837;2,335
facil_296;36,12680574704834;68,62430456105837;5,1370000000000005
facil_302;36,42930574583834;68,47930456163837;3,269
facil_315;36,22097241333834;68,91180455990836;9,807
facil_330;36,08513908054834;68,84930456015837;9,34
