Name;Latitude;Longitude;Allocated Demand
depot_2;34,946098;69,264999;75,654
depot_13;36,770699;69,531998;5491,4529999999995
facil_2;35,89013908132834;68,59180456118837;3,269
facil_6;36,17180574686834;68,77347122712837;26,152
facil_7;36,27430574645834;68,82680456024836;23,35
facil_10;35,92263908119834;68,72763789397837;18,68
facil_14;36,23513907994834;68,54930456135837;14,944
facil_15;36,17180574686834;69,11930455907837;0,467
facil_18;36,36263907943834;68,73930456059837;14,01
facil_19;36,34013907952834;68,83763789353837;5,1370000000000005
facil_20;35,81847241494834;68,80930456031837;5,1370000000000005
facil_21;36,07180574726834;68,65930456091837;2,802
facil_22;36,26180574650834;68,77263789379836;8,406
facil_23;35,65930574891834;68,74097122725837;2,802
facil_24;36,05097241401834;68,77180456046837;2,335
facil_27;36,00013908088834;68,67430456085836;8,873000000000001
facil_28;36,30597241299834;68,85097122681836;3,269
facil_29;36,18763908013834;68,73097122729837;106,94300000000001
facil_33;36,02263908079834;68,61097122777836;3,7359999999999998
facil_37;35,97263908099834;68,59847122782837;1,401
facil_39;36,34430574617834;68,81013789364837;10,741
facil_41;36,05013908068834;68,65513789426836;10,274000000000001
facil_42;36,31263907963834;68,76013789384837;8,873000000000001
facil_46;36,24597241323834;69,19513789210836;28,02
facil_49;36,01347241416834;68,59597122783836;1,401
facil_52;36,29680574636834;68,81180456030836;8,873000000000001
facil_55;35,985972414278336;68,67263789419837;10,741
facil_56;36,27013907980834;69,09263789251837;87,329
facil_58;36,29180574638834;68,85763789345836;9,34
facil_70;36,07847241390834;68,54930456135837;1,401
facil_75;36,09847241382834;68,63347122768836;4,203
facil_77;36,24847241322834;68,76097122717837;79,39
facil_82;36,32680574624834;68,85430456013836;14,010000000000002
facil_84;36,28097241309834;68,75930456051836;19,147000000000002
facil_86;36,28430574641834;68,80013789368837;44,365
facil_91;36,38013907936834;68,76430456049837;3,736
facil_93;36,19097241345834;68,77263789379836;89,664
facil_97;35,60680574912834;68,56680456128836;0,934
facil_98;36,24680574656834;68,86680456008837;6,538
facil_99;35,96763908101834;68,61763789441837;7,939
facil_102;35,70263908207834;69,32597122491836;2,335
facil_103;36,30763907965834;68,74597122723837;0,934
facil_105;36,24847241322834;68,81430456029837;21,015
facil_108;36,213472413368336;68,81263789363837;12,142000000000001
facil_109;35,93930574779834;68,64763789429837;7,005
facil_110;36,04430574737834;68,99597122623837;7,005000000000001
facil_111;36,32847241290834;68,71680456068836;24,751
facil_113;36,30430574633834;68,83597122687837;1,868
facil_115;36,33347241288834;68,84430456017837;2,335
facil_118;36,23763907993834;68,80347122700837;55,106
facil_119;36,11930574707834;68,68763789413836;277,865
facil_120;36,20930574671834;68,74680456056836;38,294
facil_121;36,27930574643834;69,12430455905837;28,487000000000002
facil_122;36,28597241307834;68,72263789399837;9,34
facil_124;36,15513908026834;68,76347122716837;34,091
facil_129;36,02097241413834;68,67347122752837;16,345
facil_130;36,213472413368336;68,80263789367837;39,228
facil_131;36,01180574750834;68,62013789440837;8,873000000000001
facil_132;36,38430574601834;68,80847122698836;5,1370000000000005
facil_133;36,02597241411834;68,59347122784837;8,873000000000001
facil_134;36,37930574603834;68,53930456139837;1,401
facil_136;36,27680574644834;68,76930456047836;14,477
facil_138;36,17847241350834;68,71180456070837;0,934
facil_139;36,32097241293834;68,79930456035837;7,005
facil_140;36,20430574673834;68,73513789394836;1,401
facil_141;35,94263908111834;68,55263789467837;4,203
facil_142;36,25680574652834;68,80347122700837;9,807
facil_144;36,19430574677834;68,73097122729837;14,477
facil_145;36,05847241398834;68,60680456112837;10,741
facil_151;36,21847241334834;68,70513789406837;20,081
facil_155;36,23097241329834;68,85347122680837;6,538
facil_159;35,95097241441834;68,64263789431837;3,736
facil_160;36,349305746158336;68,74763789389837;7,939
facil_161;36,30263907967834;68,77097122713836;9,807
facil_162;36,21513908002834;68,58847122786837;6,538
facil_163;35,99180574758834;68,68430456081836;16,345
facil_165;36,24763907989834;69,21347122536837;110,212
facil_166;36,17097241353834;68,72347122732836;89,197
facil_170;36,20097241341834;68,77430456045836;32,223
facil_173;36,23930574659834;68,87013789340837;11,675
facil_176;35,97097241433834;68,71597122735837;4,203
