Name;Latitude;Longitude;Capacity;Cost;ClearName;Type;is_copy;added_to_guarantee_coverage
facil_1;36,05097241401834;68,63180456102836;80000;0;facil_1;greenfield;False;False
facil_2;36,49847241222834;68,86680456008837;80000;0;facil_2;greenfield;False;False
facil_3;35,62597241571834;68,44680456176836;80000;0;facil_3;greenfield;False;False
facil_4;35,71930574867834;68,54763789469837;80000;0;facil_4;greenfield;False;False
facil_5;36,303472413008336;68,83013789356836;80000;0;facil_5;greenfield;False;False
facil_6;36,24513907990834;68,81597122695837;80000;0;facil_6;greenfield;False;False
facil_7;35,82847241490834;68,82097122693837;80000;0;facil_7;greenfield;False;False
facil_8;36,30930574631834;69,12847122570837;80000;0;facil_8;greenfield;False;False
facil_9;36,22847241330834;69,14347122564837;80000;0;facil_9;greenfield;False;False
facil_10;36,04347241404834;68,98263789295837;80000;0;facil_10;greenfield;False;False
facil_11;36,22680574664834;69,59597122383836;80000;0;facil_11;greenfield;False;False
facil_12;35,55347241600834;69,52763789077837;80000;0;facil_12;greenfield;False;False
facil_13;36,01013908084834;68,61097122777836;80000;0;facil_13;greenfield;False;False
facil_14;36,51180574550834;68,38347122868836;80000;0;facil_14;greenfield;False;False
facil_15;36,31180574630834;69,24930455855836;80000;0;facil_15;greenfield;False;False
facil_16;36,13347241368834;68,74930456055837;80000;0;facil_16;greenfield;False;False
facil_17;36,20013908008834;68,82180456026836;80000;0;facil_17;greenfield;False;False
facil_18;36,38930574599834;68,51430456149836;80000;0;facil_18;greenfield;False;False
facil_19;36,36347241276834;68,77430456045836;80000;0;facil_19;greenfield;False;False
facil_20;35,63097241569834;69,18763789213837;80000;0;facil_20;greenfield;False;False
facil_21;36,09763908049834;69,02263789279837;80000;0;facil_21;greenfield;False;False
facil_22;36,20013908008834;68,73847122726836;80000;0;facil_22;greenfield;False;False
facil_23;36,35180574614834;68,83097122689837;80000;0;facil_23;greenfield;False;False
facil_24;36,31513907962834;68,73097122729837;80000;0;facil_24;greenfield;False;False
facil_25;36,20180574674834;68,70180456074837;80000;0;facil_25;greenfield;False;False
facil_26;36,09680574716834;68,56347122796836;80000;0;facil_26;greenfield;False;False
facil_27;35,60097241581834;68,67930456083836;80000;0;facil_27;greenfield;False;False
facil_28;36,31180574630834;68,76347122716837;80000;0;facil_28;greenfield;False;False
facil_29;36,50097241221834;68,64680456096836;80000;0;facil_29;greenfield;False;False
facil_30;36,05430574733834;69,07013789260837;80000;0;facil_30;greenfield;False;False
facil_31;35,97430574765834;68,71763789401837;80000;0;facil_31;greenfield;False;False
facil_32;36,36763907941834;68,73763789393837;80000;0;facil_32;greenfield;False;False
facil_33;35,90263908127834;68,48513789494837;80000;0;facil_33;greenfield;False;False
facil_34;36,08597241387834;68,64180456098836;80000;0;facil_34;greenfield;False;False
facil_35;36,33180574622834;68,97263789299836;80000;0;facil_35;greenfield;False;False
facil_36;36,33513907954834;68,58263789455836;80000;0;facil_36;greenfield;False;False
facil_37;36,36847241274834;68,35013789548836;80000;0;facil_37;greenfield;False;False
facil_38;35,35930575011834;68,20680456272837;80000;0;facil_38;greenfield;False;False
facil_39;35,95847241438834;68,58763789453836;80000;0;facil_39;greenfield;False;False
facil_40;36,14097241365834;68,75597122719836;80000;0;facil_40;greenfield;False;False
facil_41;36,12930574703834;68,56847122794836;80000;0;facil_41;greenfield;False;False
facil_42;36,25180574654834;68,77347122712837;80000;0;facil_42;greenfield;False;False
facil_43;36,12347241372834;68,72513789398836;80000;0;facil_43;greenfield;False;False
facil_44;36,30263907967834;68,90847122658836;80000;0;facil_44;greenfield;False;False
facil_45;36,27347241312834;68,86930456007836;80000;0;facil_45;greenfield;False;False
facil_46;35,88430574801834;68,74763789389837;80000;0;facil_46;greenfield;False;False
facil_47;36,21763908001834;68,77513789378837;80000;0;facil_47;greenfield;False;False
facil_48;36,17013908020834;68,59513789450837;80000;0;facil_48;greenfield;False;False
facil_49;36,27930574643834;68,70763789405837;80000;0;facil_49;greenfield;False;False
facil_50;36,31680574628834;68,85013789348837;80000;0;facil_50;greenfield;False;False
facil_51;36,17597241351834;69,01680455948836;80000;0;facil_51;greenfield;False;False
facil_52;36,33513907954834;68,54847122802836;80000;0;facil_52;greenfield;False;False
facil_53;35,986805747608344;68,62180456106836;80000;0;facil_53;greenfield;False;False
facil_54;36,11513908042834;68,95680455972837;80000;0;facil_54;greenfield;False;False
facil_55;36,16180574690834;68,78847122706837;80000;0;facil_55;greenfield;False;False
facil_56;36,01347241416834;68,66513789422837;80000;0;facil_56;greenfield;False;False
facil_57;36,32097241293834;69,26513789182837;80000;0;facil_57;greenfield;False;False
facil_58;36,41597241255834;68,51013789484837;80000;0;facil_58;greenfield;False;False
facil_59;36,17013908020834;69,10763789245837;80000;0;facil_59;greenfield;False;False
facil_60;36,25263907987834;68,83430456021837;80000;0;facil_60;greenfield;False;False
facil_61;35,87597241471834;69,46680455768836;80000;0;facil_61;greenfield;False;False
facil_62;36,16430574689834;68,71430456069837;80000;0;facil_62;greenfield;False;False
facil_63;35,87430574805834;68,56597122795837;80000;0;facil_63;greenfield;False;False
facil_64;36,31013907964834;68,50013789488837;80000;0;facil_64;greenfield;False;False
facil_65;36,42597241251834;68,90763789325837;80000;0;facil_65;greenfield;False;False
facil_66;36,16513908022834;68,74930456055837;80000;0;facil_66;greenfield;False;False
facil_67;36,27347241312834;68,76847122714837;80000;0;facil_67;greenfield;False;False
facil_68;36,26930574647834;69,10013789248836;80000;0;facil_68;greenfield;False;False
facil_69;36,16680574688834;68,68180456082837;80000;0;facil_69;greenfield;False;False
facil_70;35,93430574781834;68,62263789439837;80000;0;facil_70;greenfield;False;False
facil_71;36,21680574668834;68,81763789361837;80000;0;facil_71;greenfield;False;False
facil_72;35,92680574784834;68,95763789305836;80000;0;facil_72;greenfield;False;False
facil_73;35,98013908096834;69,01680455948836;80000;0;facil_73;greenfield;False;False
facil_74;36,21013908004834;68,71347122736836;80000;0;facil_74;greenfield;False;False
facil_75;36,24513907990834;68,72097122733837;80000;0;facil_75;greenfield;False;False
facil_76;36,19097241345834;68,92763789317837;80000;0;facil_76;greenfield;False;False
facil_77;36,01513908082834;69,09680455916836;80000;0;facil_77;greenfield;False;False
facil_78;35,71013908204834;69,33347122488837;80000;0;facil_78;greenfield;False;False
facil_79;36,04097241405834;68,62180456106836;80000;0;facil_79;greenfield;False;False
facil_80;36,10430574713834;69,13013789236837;80000;0;facil_80;greenfield;False;False
facil_81;36,27597241311834;68,81847122694836;80000;0;facil_81;greenfield;False;False
facil_82;35,87430574805834;68,78597122707836;80000;0;facil_82;greenfield;False;False
facil_83;36,04180574738834;68,81597122695837;80000;0;facil_83;greenfield;False;False
facil_84;36,11097241377834;68,67013789420837;80000;0;facil_84;greenfield;False;False
facil_85;36,27597241311834;68,59263789451836;80000;0;facil_85;greenfield;False;False
facil_86;36,23097241329834;68,57847122790837;80000;0;facil_86;greenfield;False;False
facil_87;36,26513907982834;68,85513789346837;80000;0;facil_87;greenfield;False;False
facil_88;36,06097241397834;68,62597122771837;80000;0;facil_88;greenfield;False;False
facil_89;36,29930574635834;68,73097122729837;80000;0;facil_89;greenfield;False;False
facil_90;36,22097241333834;68,80013789368837;80000;0;facil_90;greenfield;False;False
facil_91;35,91847241454834;68,72097122733837;80000;0;facil_91;greenfield;False;False
facil_92;36,35180574614834;68,22347122932837;80000;0;facil_92;greenfield;False;False
facil_93;36,32680574624834;68,28430456241837;80000;0;facil_93;greenfield;False;False
facil_94;36,21013908004834;68,74263789391837;80000;0;facil_94;greenfield;False;False
facil_95;36,31930574627834;69,03263789275837;80000;0;facil_95;greenfield;False;False
facil_96;36,20763908005834;68,58680456120837;80000;0;facil_96;greenfield;False;False
facil_97;36,08513908054834;68,84930456015837;80000;0;facil_97;greenfield;False;False
facil_98;36,41597241255834;68,74680456056836;80000;0;facil_98;greenfield;False;False
facil_99;36,34847241282834;69,13347122568837;80000;0;facil_99;greenfield;False;False
facil_100;36,05763908065834;69,04680455936837;80000;0;facil_100;greenfield;False;False
facil_101;36,33180574622834;68,85930456011836;80000;0;facil_101;greenfield;False;False
facil_102;36,32847241290834;68,73097122729837;80000;0;facil_102;greenfield;False;False
facil_103;36,09930574715834;68,46763789501837;80000;0;facil_103;greenfield;False;False
facil_104;35,81680574828834;68,82597122691837;80000;0;facil_104;greenfield;False;False
facil_105;36,06097241397834;68,77263789379836;80000;0;facil_105;greenfield;False;False
facil_106;36,532639078758336;68,27180456246836;80000;0;facil_106;greenfield;False;False
facil_107;36,09430574717834;68,51930456147836;80000;0;facil_107;greenfield;False;False
facil_108;36,23930574659834;69,21347122536837;80000;0;facil_108;greenfield;False;False
facil_109;35,76597241515834;68,46263789503837;80000;0;facil_109;greenfield;False;False
facil_110;36,18847241346834;68,69763789409836;80000;0;facil_110;greenfield;False;False
facil_111;36,39263907931834;68,57180456126837;80000;0;facil_111;greenfield;False;False
facil_112;36,33430574621834;68,78763789373836;80000;0;facil_112;greenfield;False;False
facil_113;36,34680574616834;68,74847122722836;80000;0;facil_113;greenfield;False;False
facil_114;36,30930574631834;68,78263789375836;80000;0;facil_114;greenfield;False;False
facil_115;36,29097241305834;68,98347122628837;80000;0;facil_115;greenfield;False;False
facil_116;36,11597241375834;68,68930456079836;80000;0;facil_116;greenfield;False;False
facil_117;35,76097241517834;68,81763789361837;80000;0;facil_117;greenfield;False;False
facil_118;36,37430574605834;68,99930455955837;80000;0;facil_118;greenfield;False;False
facil_119;36,22263907999834;69,18097122549837;80000;0;facil_119;greenfield;False;False
facil_120;35,83263908155834;68,58347122788837;80000;0;facil_120;greenfield;False;False
facil_121;36,11180574710834;68,98180455962837;80000;0;facil_121;greenfield;False;False
facil_122;35,90597241459834;68,60513789446837;80000;0;facil_122;greenfield;False;False
facil_123;36,07013908060834;68,57847122790837;80000;0;facil_123;greenfield;False;False
facil_124;36,37930574603834;68,89263789331837;80000;0;facil_124;greenfield;False;False
facil_125;36,16513908022834;68,43347122848837;80000;0;facil_125;greenfield;False;False
facil_126;36,23347241328834;68,84097122685837;80000;0;facil_126;greenfield;False;False
facil_127;36,13930574699834;68,81680456028836;80000;0;facil_127;greenfield;False;False
facil_128;35,97013908100834;68,63930456099837;80000;0;facil_128;greenfield;False;False
facil_129;36,10180574714834;68,54430456137837;80000;0;facil_129;greenfield;False;False
facil_130;36,07680574724834;68,96097122637836;80000;0;facil_130;greenfield;False;False
facil_131;35,85097241481834;69,28597122507837;80000;0;facil_131;greenfield;False;False
facil_132;36,10680574712834;68,57430456125837;80000;0;facil_132;greenfield;False;False
facil_133;36,26763907981834;68,72513789398836;80000;0;facil_133;greenfield;False;False
facil_134;36,02680574744834;68,59263789451836;80000;0;facil_134;greenfield;False;False
facil_135;36,24763907989834;68,70763789405837;80000;0;facil_135;greenfield;False;False
facil_136;36,46347241236834;68,88097122669836;80000;0;facil_136;greenfield;False;False
facil_137;36,53430574541834;68,53513789474837;80000;0;facil_137;greenfield;False;False
facil_138;36,42263907919834;68,55597122799837;80000;0;facil_138;greenfield;False;False
facil_139;35,99763908089834;68,60680456112837;80000;0;facil_139;greenfield;False;False
facil_140;36,36347241276834;68,88347122668837;80000;0;facil_140;greenfield;False;False
facil_141;36,25347241320834;68,73263789395837;80000;0;facil_141;greenfield;False;False
facil_142;36,36347241276834;68,82597122691837;80000;0;facil_142;greenfield;False;False
facil_143;36,01597241415834;68,75680456052837;80000;0;facil_143;greenfield;False;False
facil_144;36,24347241324834;68,77430456045836;80000;0;facil_144;greenfield;False;False
facil_145;35,90430574793834;68,48513789494837;80000;0;facil_145;greenfield;False;False
facil_146;36,15013908028834;68,75847122718837;80000;0;facil_146;greenfield;False;False
facil_147;36,47430574565834;68,73347122728836;80000;0;facil_147;greenfield;False;False
facil_148;36,18930574679834;68,56763789461837;80000;0;facil_148;greenfield;False;False
facil_149;36,51097241217834;68,90097122661837;80000;0;facil_149;greenfield;False;False
facil_150;36,23513907994834;68,71597122735837;80000;0;facil_150;greenfield;False;False
facil_151;36,19513908010834;69,12763789237837;80000;0;facil_151;greenfield;False;False
facil_152;35,94597241443834;69,07513789258837;80000;0;facil_152;greenfield;False;False
facil_153;36,21263908003834;68,62097122773837;80000;0;facil_153;greenfield;False;False
facil_154;35,94597241443834;68,71513789402837;80000;0;facil_154;greenfield;False;False
facil_155;35,49263908291834;68,20930456271837;80000;0;facil_155;greenfield;False;False
facil_156;36,41347241256834;68,92013789320836;80000;0;facil_156;greenfield;False;False
facil_157;36,25263907987834;68,86847122674837;80000;0;facil_157;greenfield;False;False
facil_158;35,56930574927834;68,90013789328836;80000;0;facil_158;greenfield;False;False
facil_159;36,38013907936834;68,65013789428836;80000;0;facil_159;greenfield;False;False
