Name;Latitude;Longitude;Cost;Capacity;ClearName;Type
depot_1;34,565899;69,212303;0;2778;Kabul International Airport;medium_airport
depot_2;34,946098;69,264999;0;2778;Bagram Airfield;medium_airport
depot_3;36,706902;67,209702;0;2778;Mazar-i-Sharif International Airport;medium_airport
depot_4;37,122148;70,5201;0;2778;Fayzabad Airport;small_airport
depot_5;34,808916;67,816629;0;2778;Bamyan Airport;small_airport
depot_6;34,778601;67,489557;0;2778;Shebartu Landing Zone Airport;small_airport
depot_7;36,646099;67,032303;0;2778;Dehdadi Airport;small_airport
depot_8;34,192902;69,135696;0;2778;Kutub Khel Airport;small_airport
depot_9;34,171971;69,035309;0;2778;Mohammad Agha Wuluswali Airport;small_airport
depot_10;34,391726;67,020445;0;2778;Panjab Airport;small_airport
depot_11;37,10681;69,848892;0;2778;Rostaq Airport;small_airport
depot_12;36,029893;70,714159;0;2778;Razer Airport;small_airport
depot_13;36,770699;69,531998;0;2778;Taleqan Airport;small_airport
depot_14;34,687099;66,893204;0;2778;Nayak Airport;small_airport
depot_15;37,061623;69,487765;0;2778;Khwaja Ghar South Airport;small_airport
depot_16;36,01707;70,76085;0;2778;Koran va Monjan  Airport;small_airport
depot_17;37,459;69,646599;0;2778;Yangi Qaleh Airport;small_airport
depot_18;37,423302;69,430298;0;2778;Qara Tepa Heliport;heliport
depot_19;34,548535;69,06869;0;2778;Camp Qargha North Heliport;heliport
depot_20;34,539752;69,071963;0;2778;Camp Qargha South Heliport;heliport
depot_21;34,54016;69,30969;0;2778;Camp Warehouse Heliport;heliport
depot_22;34,54526;69,27494;0;2778;UNOCA Heliport;heliport
