Name;Latitude;Longitude;Capacity;Cost;ClearName;Type;is_copy;added_to_guarantee_coverage;is_critical
facil_1;36,29847241302834;69,23930455859836;66,41399999999999;0;facil_2;greenfield;False;False;True
facil_2;36,23180574662834;69,14430455897836;714,61;0;facil_3;greenfield;False;False;True
facil_3;36,06013908064834;69,08430455921837;34,191;0;facil_6;greenfield;False;False;True
facil_4;36,19763908009834;69,12763789237837;926,1610000000001;0;facil_7;greenfield;False;False;True
facil_5;36,23180574662834;69,17347122552837;931,765;0;facil_9;greenfield;False;False;True
facil_6;36,30263907967834;69,11097122577837;724,884;0;facil_10;greenfield;False;False;True
facil_7;36,22347241332834;69,22847122530837;401,72;0;facil_11;greenfield;False;False;True
facil_8;36,34513907950834;69,10013789248836;447,48600000000005;0;facil_14;greenfield;False;False;True
facil_9;36,10013908048834;68,98763789293837;8,039;0;facil_15;greenfield;False;False;True
facil_10;35,87680574804834;69,25513789186837;26,719;0;facil_16;greenfield;False;False;True
facil_11;36,03847241406834;69,11180455910836;33,257;0;facil_17;greenfield;False;False;True
facil_12;36,34597241283834;69,14597122563836;431,608;0;facil_18;greenfield;False;False;True
facil_13;36,21763908001834;69,53763789073837;546,023;0;facil_20;greenfield;False;False;True
facil_14;36,03763908073834;68,98180455962837;8,506;0;facil_21;greenfield;False;False;True
facil_15;36,17263908019834;69,14347122564837;561,9010000000001;0;facil_22;greenfield;False;False;True
facil_16;36,13430574701834;69,18597122547837;153,27599999999998;0;facil_23;greenfield;False;False;True
facil_17;36,04347241404834;69,22180455866837;15,044;0;facil_24;greenfield;False;False;True
facil_18;36,13763908033834;69,54180455738836;5,704;0;facil_25;greenfield;False;False;True
facil_19;36,08263908055834;69,05513789266837;18,78;0;facil_26;greenfield;False;False;True
facil_20;36,05263908067834;69,00763789285837;14,11;0;facil_27;greenfield;False;False;True
facil_21;36,05597241399834;69,04763789269836;31,389000000000003;0;facil_28;greenfield;False;False;True
facil_22;35,83930574819834;69,27513789178836;12,709;0;facil_30;greenfield;False;False;True
facil_23;36,11263908043834;69,14097122565836;84,16;0;facil_31;greenfield;False;False;True
facil_24;36,19930574675834;69,16263789223837;934,567;0;facil_32;greenfield;False;False;True
facil_25;36,08930574719834;69,03847122606837;12,241999999999999;0;facil_33;greenfield;False;False;True
facil_26;36,10930574711834;69,15847122558837;20,181;0;facil_34;greenfield;False;False;True
facil_27;36,27097241313834;68,96680455968837;9,44;0;facil_35;greenfield;False;False;True
facil_28;36,21013908004834;69,14013789232837;1002,749;0;facil_36;greenfield;False;False;True
facil_29;35,95763908105834;69,24263789191836;41,663000000000004;0;facil_37;greenfield;False;False;True
facil_30;35,83847241486834;68,86930456007836;2,435;0;facil_38;greenfield;False;False;True
facil_31;35,98930574759834;69,24847122522837;34,658;0;facil_39;greenfield;False;False;True
facil_32;36,23680574660834;69,12180455906837;508,196;0;facil_40;greenfield;False;False;True
facil_33;36,17430574685834;69,12097122573837;450,288;0;facil_41;greenfield;False;False;True
facil_34;36,09763908049834;69,01263789283837;13,176;0;facil_42;greenfield;False;False;True
facil_35;36,29930574635834;69,13513789234837;753,371;0;facil_43;greenfield;False;False;True
facil_36;36,28597241307834;69,16847122554836;579,647;0;facil_44;greenfield;False;False;True
facil_37;36,23680574660834;69,22847122530837;365,761;0;facil_45;greenfield;False;False;True
facil_38;36,10097241381834;69,51513789082837;1,034;0;facil_46;greenfield;False;False;True
facil_39;36,33597241287834;69,12263789239836;545,556;0;facil_47;greenfield;False;False;True
facil_40;36,22680574664834;69,15930455891836;998,546;0;facil_48;greenfield;False;False;True
facil_41;36,09013908052834;69,00680455952836;16,445;0;facil_49;greenfield;False;False;True
facil_42;36,31763907961834;69,13013789236837;652,966;0;facil_50;greenfield;False;False;True
facil_43;36,21763908001834;69,12013789240837;997,145;0;facil_51;greenfield;False;False;True
facil_44;35,96847241434834;69,03013789276837;2,435;0;facil_52;greenfield;False;False;True
facil_45;36,08680574720834;69,07013789260837;27,653000000000002;0;facil_53;greenfield;False;False;True
facil_46;36,349305746158336;69,10597122579837;346,61400000000003;0;facil_54;greenfield;False;False;True
facil_47;36,07847241390834;68,95180455974837;6,638;0;facil_55;greenfield;False;False;True
facil_48;36,14013908032834;69,13597122567836;114,982;0;facil_56;greenfield;False;False;True
facil_49;36,34013907952834;68,95847122638837;36,059000000000005;0;facil_57;greenfield;False;False;True
facil_50;36,06763908061834;69,02847122610837;17,379;0;facil_58;greenfield;False;False;True
