Name;Latitude;Longitude;Capacity
facil_1;740,0;442,0;2
facil_2;261,0;710,0;2
facil_3;578,0;522,0;2
facil_4;562,0;509,0;2
facil_5;795,0;425,0;2
facil_6;636,0;463,0;2
facil_7;645,0;617,0;2
facil_8;595,0;524,0;2
facil_9;649,0;599,0;2
facil_10;745,0;252,0;2
facil_11;180,0;757,0;2
facil_12;590,0;598,0;2
facil_13;332,0;775,0;2
facil_14;544,0;551,0;2
facil_15;1000,0;444,0;2
facil_16;581,0;521,0;2
facil_17;240,0;609,0;2
facil_18;700,0;468,0;2
facil_19;735,0;579,0;2
facil_20;403,0;569,0;2
facil_21;352,0;905,0;2
facil_22;733,0;352,0;2
facil_23;289,0;705,0;2
facil_24;598,0;249,0;2
facil_25;565,0;570,0;2
facil_26;711,0;336,0;2
facil_27;816,0;497,0;2
facil_28;769,0;411,0;2
facil_29;409,0;651,0;2
facil_30;231,0;742,0;2
facil_31;575,0;555,0;2
facil_32;567,0;477,0;2
facil_33;693,0;537,0;2
facil_34;521,0;534,0;2
facil_35;457,0;414,0;2
facil_36;826,0;450,0;2
facil_37;638,0;617,0;2
facil_38;245,0;744,0;2
facil_39;235,0;859,0;2
facil_40;233,0;821,0;2
facil_41;863,0;455,0;2
facil_42;739,0;480,0;2
facil_43;311,0;717,0;2
facil_44;567,0;373,0;2
facil_45;753,0;427,0;2
facil_46;547,0;493,0;2
facil_47;732,0;382,0;2
facil_48;664,0;511,0;2
facil_49;945,0;316,0;2
facil_50;250,0;770,0;2
facil_51;598,0;493,0;2
facil_52;262,0;653,0;2
facil_53;568,0;558,0;2
facil_54;877,0;808,0;2
facil_55;395,0;796,0;2
facil_56;467,0;732,0;2
facil_57;685,0;327,0;2
facil_58;260,0;910,0;2
facil_59;571,0;648,0;2
facil_60;747,0;398,0;2
facil_61;571,0;650,0;2
facil_62;541,0;442,0;2
facil_63;841,0;466,0;2
facil_64;744,0;725,0;2
facil_65;662,0;349,0;2
facil_66;686,0;543,0;2
facil_67;184,0;776,0;2
facil_68;177,0;770,0;2
facil_69;664,0;559,0;2
facil_70;802,0;446,0;2
facil_71;110,0;559,0;4
facil_72;662,0;566,0;14
facil_73;605,0;544,0;17
facil_74;287,0;671,0;21
facil_75;556,0;738,0;3
facil_76;615,0;511,0;19
facil_77;293,0;693,0;19
facil_78;375,0;671,0;8
facil_79;383,0;614,0;4
facil_80;834,0;417,0;14
facil_81;704,0;397,0;15
facil_82;255,0;696,0;26
facil_83;708,0;388,0;16
facil_84;799,0;172,0;2
facil_85;298,0;531,0;2
facil_86;740,0;456,0;31
facil_87;661,0;582,0;10
facil_88;664,0;398,0;15
facil_89;659,0;461,0;16
facil_90;630,0;290,0;6
facil_91;267,0;721,0;25
facil_92;682,0;474,0;23
facil_93;269,0;639,0;15
facil_94;577,0;361,0;3
facil_95;540,0;550,0;13
facil_96;370,0;733,0;6
facil_97;546,0;587,0;14
facil_98;708,0;412,0;22
facil_99;724,0;572,0;7
facil_100;416,0;688,0;6
facil_101;544,0;794,0;3
facil_102;714,0;478,0;25
facil_103;916,0;502,0;3
facil_104;313,0;770,0;10
facil_105;464,0;361,0;4
facil_106;356,0;921,0;2
facil_107;776,0;470,0;24
facil_108;477,0;721,0;4
facil_109;733,0;447,0;31
facil_110;724,0;495,0;21
facil_111;272,0;792,0;9
facil_112;491,0;471,0;7
facil_113;348,0;505,0;3
facil_114;168,0;309,0;2
facil_115;595,0;628,0;6
facil_116;227,0;720,0;26
facil_117;781,0;585,0;10
facil_118;228,0;680,0;22
facil_119;807,0;595,0;8
facil_120;582,0;503,0;17
facil_121;327,0;603,0;4
facil_122;505,0;586,0;9
facil_123;235,0;788,0;8
facil_124;135,0;677,0;7
facil_125;716,0;440,0;31
facil_126;221,0;678,0;21
facil_127;633,0;421,0;17
facil_128;826,0;476,0;11
facil_129;879,0;350,0;4
facil_130;738,0;475,0;26
facil_131;676,0;446,0;22
facil_132;388,0;669,0;7
facil_133;465,0;690,0;5
facil_134;543,0;422,0;7
facil_135;675,0;544,0;15
facil_136;770,0;613,0;9
facil_137;309,0;590,0;5
facil_138;434,0;594,0;5
facil_139;647,0;551,0;20
facil_140;468,0;405,0;4
facil_141;0,0;863,0;2
facil_142;663,0;582,0;10
facil_143;209,0;755,0;14
facil_144;966,0;516,0;3
facil_145;580,0;593,0;13
facil_146;221,0;558,0;4
facil_147;230,0;594,0;11
facil_148;329,0;768,0;8
